カテゴリ	項目No.	確認内容	期待結果	URL/操作	担当	確認日	結果(OK/NG)	備考
認証	1.1	新規ユーザーが Facebook ログインから onboarding 完了まで到達できる	ダッシュボードに遷移、profiles 行が作成される	/ja → 「Facebookでログイン」→ FB 認可 → onboarding form 入力
認証	1.2	既存ユーザーが Facebook ログイン後、直接ダッシュボードに遷移	onboarding をスキップしてダッシュボード表示	2回目以降のログイン
認証	1.3	ログアウトボタンが機能する	ログイン画面にリダイレクト、セッション破棄	ダッシュボード右上 → ログアウト
認証	1.4	Facebook 認可拒否時のエラー表示	「Facebookログインがキャンセルされました」トースト	FB 認可画面で「キャンセル」
認証	1.5	未認証で /chat 直接アクセス時にログイン画面リダイレクト	ログイン画面に飛ぶ	未ログイン状態で /ja/chat 直接 URL アクセス
認証	1.6	未 onboarded で /chat アクセス時に onboarding 画面リダイレクト	onboarding 画面に飛ぶ	onboarding 未完了のまま /chat アクセス
AI相談 基本	2.1	新規会話で1ターン目の質問が送れる	user メッセージ表示 + AI 応答ストリーミング	/chat → 「ビザ更新には何が必要?」送信
AI相談 基本	2.2	AI 応答に citation [#1] [#2] が表示される	citation バッジ表示、クリックで別タブで記事詳細遷移	general 質問送信
AI相談 基本	2.3	disclaimer が AI 応答の末尾に表示される	「これは一般的な情報であり…」が応答下に表示	answer 系応答
AI相談 基本	2.4	曖昧質問で AI が聞き返しを行う	1〜2文で具体的な選択肢を提示する聞き返し	「ビザの相談がしたい」「困った」等送信
AI相談 基本	2.5	smalltalk が自然な応答になる	「こんにちは」等で AI が自然な挨拶を返す	「こんにちは」「ありがとう」送信
AI相談 基本	2.6	具体個別質問で escalate される	EscalationCard 表示、専門家リスト + Contact ボタン	「特定技能で転職したい、会社が非協力」送信
AI相談 基本	2.7	keyword escalate が動作する	即 escalate（LLM 呼び出しなし）	「離婚したい」「在留期限が来月切れる」送信
AI相談 基本	2.8	PII 入力ブロックが動作する	「個人情報は送信できません」表示	「私の在留カードは AB12345678CD です」送信
AI相談 基本	2.9	2000文字超過でブロック	「質問が長すぎます」表示	2001文字の質問送信
AI相談 文脈継承	3.1	2ターン目で前ターン文脈が classifier に渡る	history=2 がログに出る、応答が前文脈を踏まえる	1: 「ビザ相談」 → 2: 「更新です」
AI相談 文脈継承	3.2	3ターン目で具体性累積により individual 判定	classifier reason に「specific status + deadline」等含む	1: 「ビザ相談」 → 2: 「特定技能です」 → 3: 「期限来月、会社非協力」
AI相談 文脈継承	3.3	会話切替時 ChatShell が remount される	前会話のメッセージが残らず、新会話のみ表示	サイドバーで別会話クリック
AI相談 文脈継承	3.4	既存会話を再開時、過去メッセージが復元される	全 user/assistant メッセージが時系列で表示	サイドバーから過去会話クリック
AI相談 文脈継承	3.5	「新しい相談を始める」で URL クエリ消去 + 空の chat	?conversation_id= 消える、メッセージ空	サイドバー上部 or chat 内ボタン押下
サイドバー	4.1	デスクトップで左 260px サイドバー常時表示	画面左に固定幅のサイドバー、上部に「+ 新しい相談を始める」	/ja/chat を md+ viewport で開く
サイドバー	4.2	会話リストが時系列降順（updated_at desc）	最新が上、各行に最初のユーザー発話冒頭50字 + 相対日付	既存会話 3+ ある状態でサイドバー目視
サイドバー	4.3	アクティブ会話に hint highlight	URL の conversation_id と一致する行が薄い primary 色	サイドバーから会話クリック → 該当行強調確認
サイドバー	4.4	新規送信完了時、新会話行が即サイドバーに反映	router.refresh により新行追加	空の /chat で1ターン送信 → サイドバー目視
サイドバー	4.5	モバイルでハンバーガー（☰）から drawer 開閉	左から slide-in、背景に黒オーバーレイ	375px viewport でハンバーガー押下
サイドバー	4.6	モバイル drawer で会話クリックすると drawer 閉じる + 会話ロード	drawer 閉じ、新会話表示	モバイル drawer 内で会話タップ
サイドバー	4.7	モバイル drawer の Escape / backdrop / × 全部で閉じる	全 3 method で閉じる	モバイル drawer 開状態で各操作試行
サイドバー	4.8	モバイル drawer 開いている間、背景ページがスクロールしない	body の overflow が hidden	モバイル drawer 開状態で背景スクロール試行
記事	5.1	/articles 一覧ページが表示	最新記事から20件、各行にカテゴリバッジ + 日付 + preview	/ja/articles 直接 or dashboard CTA
記事	5.2	記事詳細ページが表示	タイトル、カテゴリ、本文 markdown 描画	記事一覧からクリック
記事	5.3	記事詳細から chat 戻りリンクが機能	/ja/chat に遷移	「← チャットに戻る」クリック
